Лов сократился, и жители чувствовали недостаток рыбы.	 53
Дома круглые, бурые, без окон, торчат на сваях, как сторожевые вышки, а под ними чего только не навалено — горшки какие-то здоровенные, корыта, ржавые котлы, деревянные грабли, лопаты… Земля между домами — глина, и до того она выжжена и вытоптана, что даже блестит.	 265
Ну и деревня.	 14
Постанывая и кряхтя, сполз с обрыва, проковылял по песку, с плеском погрузился в радиоактивные воды и, фыркая и храпя, поплыл на другой берег, в тростники.	 155
Мы подошли, и Гепард, задержавшись, спросил, где командир.	 58
Ствол пистолета утыкается мне в гланды.	 41
Словно по команде ураган детей и подростков выскочил из-за стола и унесся из столовой в комнату, где те, что постарше, вооружились игрушечными автоматами и пистолетами, а те, что помладше, похватали машинки и резиновых динозавров.	 230
Аграфов это не сильно устраивает, но видимо им придется согласится.	 67
Миллионы мужчин во всем мире влюблялись в лицо Марго Эштон.	 59
Солоццо и Татталья отпустили его руки – только убийца оставался подле жертвы: опустился на колени, повторяя ее движения, все туже затягивая шнур, так что он врезался в шею, исчезнув в складке кожи.	 197
Белый исцеляющий шар света не появляется.	 41
Это в те ночи, когда он не менял бобины на кинопроекторах.	 58
Пассажиры вышли на верхнюю палубу пятиэтажного корабля и любовались величественной картиной.	 94
Но сломанной передачей он занялся рьяно, сам помог Солу снять ее с заднего колеса.	 82
Что у него есть.	 16
Родился и вырос Антон в деревушке Михайловке Шантарской волости, которая находилась верстах в полутораста от Новониколаевска.	 126
Разделся, натянул жилет на шерстяное белье, надел поверх рубашку и пиджак.	 74
И я ударил его как-то по-женски, неловко, прямо в ухо, а Тайлер в ответ пнул меня в живот.	 90
Не в тонкую полоску, как клубные галстуки, а в широкую, как офицерские с цветами части.	 87
Вот он.	 7
Остальные в команде также уже по несколько лет не бывали на поверхности планеты.	 80
Это животное даже не обернулось — буркнул что-то в свое варево и ткнул черпаком куда-то вдоль улицы.	 100
Как смола.	 10
Двое других раненых лежали неподвижно — то ли они спали, то ли уже отошли.	 74
Вы лезете в интернет, находите какой-нибудь специализированный сайт, и выясняете что вам нужно.	 95
Если мать действительно сторожит дверь… если это действительно лишь испытание… Как бы то ни было, он попался, и старческая рука крепко держит его.	 146
Нас высаживали ночью, лил дождь, семь тысяч измученных курортников стояли на пирсах, глядя на догорающий лайнер.	 112
Белый барьер тянулся вдоль всего павильона.	 43
Было четыре часа утра, и его пьяному воображению мерещилось, как он будет расправляться со своей блудной женой, когда она вернется.	 131
Десятки тысяч рабов трудились над нею.	 38
Вся его сила ушла, ноги подкосились, туловище обмякло.	 54
Верстак, с кучей непонятных инструментов, несколько роботов, различной конфигурации, и машина, висящая, мать ее так, в воздухе.	 127
Кто-то с большими широкими ступнями, тяжелый, косолапый, неуклюжий – несомненно, гуманоид, но на ногах у него было по шесть пальцев.	 132
Поддал я ему носком сапога под крестец, он живо повернулся, увидел нашу форму и сразу встал как положено.	 105
Иногда Тайлер Дёрден просыпается в ужасе посреди ночи, потому что ему снится, что он проспал смену постов, или что пленка порвалась, или выскользнула из направляющих, и шестеренки зажевали звуковую дорожку.	 206
От таких не убежишь.	 20
Он вышел из клуба, взял такси и поехал к себе в меблированную квартиру на Десятой авеню.	 88
Смертью тоже пахло, давней и непонятной.	 40
Я откинул простыню и встал с кровати.	 39
Егор, по заверениям Алика, даже поддержал приятеля в этой авантюре одобрительным мычанием, хотя, честно сказать, в тот момент соображал слабо в силу изрядного опьянения.	 169
Деревья — никогда таких не видел: листья зеленые-зеленые, мягкие, шелковистые, а на ветвях висят здоровенные плоды.	 115
Рассказывали, что некоторых он даже выводил ради каких-то своих соображений на особенно редкие и ценные артефакты.	 114
Коля поспешно одернул гимнастерку, облизнул пересохшие вдруг губы и шагнул за глухие портьеры.	 94
Осколки стекла прыскают в воздух, словно стайка птиц, а затем из окна показывается край длинного черного стола, который члены Комитета Неповиновения выбрасывают из здания.	 171
Аварийная ситуация.	 21
Тайлер вылавливал из зоны прибоя плавник и выволакивал его на пляж.	 67
Но в половину пятого, объяснил Тайлер, тень руки выглядела идеально.	 68
За всеми семью вратами дворца – за зелеными, за оранжевыми – стоит Марла.	 73
Тишина ночи не нарушалась ни всплеском волны, ни скрипом снастей.	 65
Расскажи ему, как ты себя чувствуешь.	 39
Само отбытие было довольно рядовым, просто попрощались, нам пожелали удачи и мы разогнавшись прыгнули в гиперпространство.	 122
Бергтора, кстати, решительно не желала оставить его в покое хоть на минуту.	 75
У нас в ГСП даже приключения рутинные.	 38
А уж с этим вражеским «Бегемотом» наши шансы на победу были и вовсе призрачными.	 80
Он сидел на золотом троне, под полосатым балдахином, в шелковой пурпуровой одежде, вышитой яркими узорами.	 106
Они меня назвали Джоном.	 24
Его отец, Силантий Савельев, был, как говорили в Михайловке, «беднее поповой собаки».	 85
Он лежал на диагностической кровати медцентра в одних трусах-боксерах.	 70
Кто-то сказал когда-то давно, что людям свойственно убивать тех, кого любишь.	 79
Как раз в это время бар закрылся.	 33
Но о боконизме никто не знал за пределами песчаных берегов и коралловых рифов, окружавших крошечный остров в Карибском море – Республику Сан-Лоренцо.	 149
От неудобной позы шея его налилась малиновой кровью.	 52
Где-то под нами, на одном из ста девяноста этажей небоскреба, обезьянки-астронавты из Комитета Неповиновения «Проекта Разгром» впали в безумие и приступили к уничтожению истории.	 180
Шестеро из них рассказывают свои истории, в той или иной степени связанные с беспощадным механическим чудовищем Шрайком, явившимся из будущего.	 143
А вот аграфы согласно данных разведки обладают населением в девятьсот миллиардов аграфов.	 90
Мои чакры не хотят открываться.	 33
Однако нельзя было показывать растерянность перед подчинёнными, да и чужие в предыдущих боях пока что не показывали каких-то тактических изысков и тупо лезли вперёд, уповая на сокрушительную мощь своих орудий и великолепные быстро регенерирующие щиты.	 253
Когда он был маленьким, отец с матерью часто брали его с собой на Ревир-Бич, и он всякий раз настаивал, чтобы родители разложили плед так, чтобы можно было лежать на нем и смотреть на этот обломок, который казался мальчику клыком погребенного под песком чудовища.	 263
Это предупреждение.	 19
Интересно и увлекательно читать даже будничные вещи, связанные с космическим полётом.	 85
Если вначале конфликта все в том числе и я считали, что инициатором были аграфы, то теперь становилось понятным, что за всем этим стояли очень хорошие стратеги из Центральных миров.	 183
И ведь никто же у нас про них ничего не знает, вот что самое страшное.	 70
Вечером сам начальник училища поздравлял каждого с окончанием, вручал «Удостоверение личности командира РККА» и увесистый «ТТ».	 128
Напалм можно изготовить тремя способами.	 42
Я расстегнул камуфляжную куртку и бережно вытащил из внутреннего кармана небольшой серебряный портсигар.	 106
Чистая арифметика.	 20
Основной характеристикой текущего столетия было и остается ускорение технического прогресса.	 92
В Лос-Анджелесе, среди кричащей роскоши гостиничного люкса, Джонни Фонтейн глушил виски, как самый заурядный обманутый муж.	 124
Он вдруг обнаружил, что дышит, судорожно хватая ртом воздух, попытался успокоить дыхание – и не смог.	 101
Все-таки уже не первый год живут вместе.	 40
Ему только казалось, что боль накатывает и уходит.	 50
Дождался ночи и побрел на Сорок восьмую улицу, где не торопясь поужинал у Патси, в своем любимом итальянском ресторанчике.	 122
«А чужая слава – основа зависти владык», – сказал тогда Хават.	 62
Ближе к назначенному часу, так же не торопясь, зашагал в клуб.	 62
Они исчезают в колышущемся людском море.	 40
Потом еще.	 10
Закрой одну заслонку и одновременно открой вторую.	 50
Слава Богу, что не оба, сказала Вера.	 37
Что интересно результативность труда сразу выросла.	 51
Но отдых продолжаться вечно не мог и вскоре мы вернулись обратно на базу через звездные врата.	 95
И всякий раз, когда ребенок видит огонь, он начинает боязливо отдергивать руку.	 79
О нем слагались басни.	 22
Я знаю это, потому что это знает Тайлер.	 40
Дома тебе порой снится, что ты проспал смену постов, и ты просыпаешься в ужасе посреди ночи.	 92
Он извлек урок из сновидения, которое на самом деле было воспоминанием.	 71
Вот ваш взгляд зацепился за название какой-нибудь расы.	 55
Корабль лопнул, лиловым светом полыхала керамитовая скорлупа, весело горела сухая трава вокруг, пылал кустарник, и занимались дымными огоньками корявые деревья.	 160
То этот Тайлер устраивает меня на работу официантом, то пихает мне ствол в рот и заявляет, что для того, чтобы обрести жизнь вечную, надо сначала умереть.	 154
Я тех книг, читал не так уж и много.	 36
Я отсчитал девяносто один доллар, и он, не садясь, принялся выписывать квитанцию.	 81
Тонио Престо обычно сам режиссировал фильмы, в которых участвовал.	 66
Швейцара за дверью уже не было.	 31
Барон сделал несколько глотков, и ему вроде бы полегчало.	 57
Ворот его пиджака был поднят.	 29
Вокруг маяка спиралью вилась широкая дорога, по которой свободно проезжало рядом шесть колесниц.	 96
Не забыли при подготовке и о вооружении корабля.	 49
Но согласитесь, знатоком вселенной, таким образом не станешь.	 61
Если взяться за ручку и попытаться поднять один такой яуф, то можно вывихнуть плечо – настолько он тяжелый.	 107
Люди, вынужденные ограничиваться электрическими подделками, чувствовали себя униженными и, как следствие, постепенно теряли веру в себя.	 136
Некоторые предпочитают смешивать нитроглицерин с ватой и английской солью.	 74
фыррр.	 6
Вместо этого я уселся на скамью и повертел в руках трубку.	 58
Он не знал, кто он и где находится, да и знать не хотел.	 56
Но теперь Бальтазар слышал только вздохи и бормотание спящих.	 61
Из дома пахнуло прохладным свежим воздухом.	 43
Даже забавно.	 13
На первой здание еще стоит.	 27
На следующей угол наклона составляет уже сорок пять градусов, причем арматура начинает сдавать, так что накренившееся здание прогибается дугой.	 143
Глупо было надеяться узнать что-нибудь.	 39
Жидкость для контактных линз.	 29
«Престо страшен в своем безнадежном бунте».	 43
Для них просто понежиться на солнышке было настоящим райским наслаждением.	 75
Он отказывался их носить, даже когда они были в моде, а они были, поскольку на Луне одна мода сменяет другую.	 109
За ней — зрелище, которое сплело воедино мою память и чувства.	 62
Впрочем, это было не нужно: ничто не предвещало перемены погоды.	 64
Уже дважды я резко вскидывался, уловив изменение тональности звука тонущих в лужах капель, но оба раза виноваты оказывались вороны, встряхивавшие мокрыми перьями в ветвях почерневших деревьев неподалеку.	 203
Но Гаг уже не слышал его.	 25
Миры роботов заселены удивительными персонажами, которые имеют лишь отдаленное представление о расе людей, но в то же время их проблемы так схожи с людскими.	 157
Морда у него оказалась под стать окоркам, да еще небритая целую неделю, у дикобраза.	 84
